Tipo;Producto;AlfaBeta;Troquel;CodBarraPrinc;Laboratorio;Precio;Neto;CadenaFrio;RequiereVale;Trazable
D;+50 CPR X 30;;9984618;7790839000267;ISA;449,60;0;0;0;0
D;102 AÑOS PLUS CPR X 30;30940;9990138;7791984000485;FRANKLIN MILLET;283,85;1;0;0;0
D;102 AÑOS PLUS CPR X 60;33894;9990449;7791984000492;FRANKLIN MILLET;481,93;1;0;0;0
D;102 AÑOS PLUS CPR X 90;;9982842;7791984000508;FRANKLIN MILLET;707,91;1;0;0;0
D;102 AÑOS PLUS SOB X 15;;9984125;7791984000515;FRANKLIN MILLET;195,67;1;0;0;0
D;102 MUJER CAP BLANDAS X 30;;9987321;7791984999536;FRANKLIN MILLET;329,65;1;0;0;0
D;102 SPORT MAX SOB X 30;;9986074;7791984000539;FRANKLIN MILLET;466,88;1;0;0;0
D;3TC 150 MG CPR X 60;18000;4108451;7796930007310;GLAXOSMITHKLINE;4531,98;0;0;0;1
D;3TC COMPLEX CPR X 60;21955;4408181;7796930003336;GLAXOSMITHKLINE;10277,46;0;0;0;1
D;4X4 50 MG CPR X 4;;5159542;7790839980248;ISA;128,30;0;0;0;0
D;5 ASA 1000 MG SOB X 30;;6393421;7795327064622;DOMINGUEZ;4587,47;0;0;0;0
D;5 ASA 2000 MG SOB X 30;;6393551;7795327064639;DOMINGUEZ;8487,37;0;0;0;0
D;5 ASA 400 MG CPR X 30;11105;3313721;7795327061164;DOMINGUEZ;2107,99;0;0;0;0
D;5 ASA 400 MG CPR X 60;11106;3313722;7795327061171;DOMINGUEZ;4008,17;0;0;0;0
D;5 ASA 400 MG SUPOS X 10;11107;3314131;7795327061188;DOMINGUEZ;965,69;0;0;0;0
D;5 ASA 400 MG SUPOS X 30;11108;3314132;7795327061195;DOMINGUEZ;2764,35;0;0;0;0
D;5 ASA 500 MG CPR X 30;43119;5820131;7795327063625;DOMINGUEZ;2239,51;0;0;0;0
D;5 ASA 500 MG CPR X 60;43120;5820132;7795327063632;DOMINGUEZ;4031,24;0;0;0;0
D;5 ASA 800 MG CPR X 30;43121;5820001;7795327063670;DOMINGUEZ;3583,06;0;0;0;0
D;5 ASA 800 MG CPR X 60;43122;5820002;7795327063687;DOMINGUEZ;6196,41;0;0;0;0
D;5 XR 500 MG CPR X 100;;5895422;7795349000189;ARISTON;6201,70;0;0;0;0
D;5 XR 500 MG CPR X 50;;5895421;7795349000172;ARISTON;3384,67;0;0;0;0
D;8 HORAS 2 MG CPR X 30;40561;5624002;7796285053147;LABORATORIO ELEA  PHOENIX;751,66;0;0;0;0
D;8 HORAS 3 MG CPR X 30;40562;5624131;7796285053154;LABORATORIO ELEA  PHOENIX;939,55;0;0;0;0
D;A ACIDO 0,025% EMOLIENTE CR X 30 GR;12126;3444242;7795327060051;DOMINGUEZ;1021,26;0;0;0;0
D;A ACIDO 0.05% CR X 10 G;02586;2168891;7795327060006;DOMINGUEZ;433,19;0;0;0;0
D;A ACIDO 0.1% CR X 10 G;02587;2168971;7795327060020;DOMINGUEZ;512,73;0;0;0;0
D;A ACIDO 0.2% CR X 10 GR;02588;2062361;7795327060037;DOMINGUEZ;561,56;0;0;0;0
D;A ACIDO VITAL CR X 30 GR;00005;3068041;7795327060044;DOMINGUEZ;997,11;0;0;0;0
D;ABARAX 100 MG CPR X 100;;6149711;7796285272616;LABORATORIO ELEA  PHOENIX;3121,03;0;0;0;1
D;ABARAX 50 MG CPR X 100;;6149681;7796285272623;LABORATORIO ELEA  PHOENIX;1917,31;0;0;0;1
D;ABRALUX CR X 60 GR;30727;9991619;7798095330043;VALUGE S.A.;432,81;1;0;0;0
D;ACALIX 120 CPR X 50;04545;3064742;7795345006130;ROEMMERS;1246,41;0;0;0;0
D;ACALIX 25 INY X 1;04112;3064901;7795345003412;ROEMMERS;552,54;0;0;0;0
D;ACALIX 60 CPR X 50;07577;2766272;7795345002811;ROEMMERS;486,61;0;0;0;0
D;ACALIX AP 120 CAP X 30;07578;02828722;7795345001968;ROEMMERS;1163,08;0;0;0;0
D;ACALIX CRONOS 180 MG CAP X 30;38106;5468844;7795345013541;ROEMMERS;1289,05;0;0;0;0
D;ACALIX CRONOS 240 MG CAP X 30;38107;5468974;7795345013558;ROEMMERS;1882,98;0;0;0;0
D;ACALIX CRONOS 300 MG CAP X 30;38108;5469004;7795345013565;ROEMMERS;2111,70;0;0;0;0
D;ACANTEX MUS 1000 MG AMP X 1;07461;6177551;7795380001275;INVESTI FARMA;799,49;0;0;0;0
D;ACANTEX MUS 500 MG AMP X 1;07459;2853891;7795380001268;INVESTI FARMA;402,32;0;0;0;0
D;ACANTEX VEN 1000 MG AMP X 1;07462;6177681;7795380001282;INVESTI FARMA;565,82;0;0;0;0
D;ACANTEX VEN 2000 MG FR AMP X 1;07463;2854201;7795380001299;INVESTI FARMA;1113,33;0;0;0;0
