"Field","Type","Null","Key","Default","Extra"
"IDCliente","int(11)","NO","PRI","","auto_increment"
"Codigo","int(11)","YES","MUL","",""
"Nombre","varchar(100)","YES","","",""
"Documento","varchar(20)","YES","","",""
"Legajo","varchar(20)","YES","","",""
"NroTarjeta","varchar(20)","YES","","",""
"Direccion","varchar(100)","YES","","",""
"Telefono","varchar(100)","YES","","",""
"email","varchar(100)","YES","","",""
"FechaNacimiento","date","YES","","",""
"FechaAlta","date","YES","","",""
"FechaBaja","date","YES","","",""
"Mayorista","char(1)","YES","","",""
"TipoIVA","char(2)","YES","","CF",""
"CUIT","varchar(13)","YES","","",""
"Observacion","text","YES","","",""
"Limite","double","NO","","0",""
"Descuento","float","YES","","",""
"Estado","char(1)","YES","","",""
"TipoCliente","char(1)","YES","","C",""
"IDGrupo","int(11)","YES","MUL","",""
"DebitoAutomatico","char(1)","YES","","",""
"CBU","varchar(22)","YES","","",""
"idCiudad","int(11)","YES","MUL","",""
"TipoDocumento","varchar(50)","YES","","",""
"FechaBloqueo","date","YES","","",""
"NroSocio","varchar(100)","YES","","",""
"CuotaMensual","char(1)","YES","","N",""
"gln","varchar(50)","YES","","",""
"IdTrazaTipoEntidad","int(11)","YES","","",""
"FechaAltaPuntaje","date","YES","","",""
"Sucursal","int(11)","YES","","",""
"ExentoPercepMun","tinyint(4)","YES","","0",""
"idEstadoSocial","char(1)","YES","MUL","",""
"CuotasImpagas","int(10) unsigned","YES","","",""
"fidely_card","varchar(20)","YES","","",""
"fidely_customerid","int(11)","YES","","",""
"fidely_status","varchar(20)","YES","","INACTIVE",""
